0,10
1437,170
1597,348
1705,537
1717,728
1567,902
1418,1060
1396,1215
1286,1358
1157,1487
1056,1604
967,1712
874,1809
787,1896
713,1975
642,2046
577,2110
527,2169
474,2222
427,2269
418,2316
376,2358
338,2396
304,2430
274,2460
247,2487
222,2512
200,2534
180,2554
162,2572
146,2588
131,2603
116,2616
104,2628
94,2638
85,2647
76,2656
68,2664
61,2671
55,2677
49,2683
44,2688
40,2692
36,2696
32,2700
29,2703
26,2706
23,2709
21,2711
19,2713
17,2715
15,2717
13,2719
12,2720
11,2721
10,2722
9,2723
8,2724
7,2725
6,2726
5,2727
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
4,2728
