0,10,0
823,101,0
911,202,0
850,297,0
1071,416,1
1193,549,1
1369,701,1
1624,882,1
1465,1045,2
1333,1193,2
1201,1326,2
1081,1446,2
971,1554,4
873,1651,5
786,1738,6
707,1816,7
634,1887,10
571,1949,12
514,2004,14
592,2067,17
560,2127,22
513,2181,26
462,2228,31
415,2269,37
375,2308,42
336,2339,50
300,2367,59
267,2388,71
238,2403,86
213,2412,103
195,2418,123
174,2418,146
155,2418,168
136,2415,194
119,2405,226
104,2384,265
93,2351,310
84,2313,362
71,2273,419
63,2216,487
54,2150,564
47,2075,649
39,2001,736
33,1918,829
26,1819,939
22,1722,1043
18,1624,1153
15,1515,1271
11,1428,1369
9,1328,1482
8,1220,1598
6,1094,1729
4,980,1854
4,876,1966
4,778,2066
3,685,2165
3,591,2264
3,509,2351
3,441,2421
3,381,2485
2,314,2558
2,264,2613
2,220,2661
2,179,2702
2,154,2728
2,133,2751
2,118,2767
2,100,2788
2,82,2806
2,66,2822
1,57,2833
0,54,2837
0,44,2847
0,35,2856
0,32,2859
0,25,2866
0,24,2867
0,21,2871
0,19,2873
0,16,2876
0,14,2878
0,14,2878
0,14,2878
0,12,2880
0,11,2881
0,11,2881
0,11,2881
0,11,2881
0,9,2883
0,8,2884
0,8,2884
0,6,2886
0,5,2887
0,5,2887
0,5,2887
0,5,2887
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
0,4,2888
