0,10
0,10
681,86
613,154
858,249
775,335
763,420
711,499
715,579
902,679
894,778
830,870
832,962
864,1058
787,1146
712,1225
645,1297
653,1370
588,1435
529,1494
481,1547
435,1595
427,1643
384,1686
348,1725
315,1760
283,1792
255,1820
229,1846
206,1869
191,1890
172,1909
182,1929
164,1947
213,1971
192,1992
204,2015
184,2035
167,2054
150,2071
136,2086
132,2101
119,2114
107,2126
96,2137
86,2147
77,2156
69,2164
62,2171
56,2177
50,2183
45,2188
40,2193
36,2197
32,2201
29,2204
26,2207
23,2210
21,2212
19,2214
17,2216
15,2218
13,2220
12,2221
11,2222
10,2223
9,2224
8,2225
7,2226
6,2227
5,2228
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
4,2229
